# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_upstream_gene_variant
AfuMttF(GAA)6	AfuMttF(GAA)6	AfuMttF(GAA)6-T	protein_coding	0	0	0	20	0	0	0	0	0	17	0	0	0	0	0	0	3
AfuMttG(ACC)1	AfuMttG(ACC)1	AfuMttG(ACC)1-T	protein_coding	0	0	0	13	0	0	0	0	0	2	0	0	0	0	0	0	11
AfuMttG(UCC)4	AfuMttG(UCC)4	AfuMttG(UCC)4-T	protein_coding	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	3
AfuMttH(GUG)5	AfuMttH(GUG)5	AfuMttH(GUG)5-T	protein_coding	0	0	0	22	0	0	0	0	0	8	0	0	0	0	0	0	14
AfuMttI(GAU)1	AfuMttI(GAU)1	AfuMttI(GAU)1-T	protein_coding	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	3
AfuMttI(UAU)2	AfuMttI(UAU)2	AfuMttI(UAU)2-T	protein_coding	0	0	0	20	0	0	0	0	0	16	0	0	0	0	0	0	4
AfuMttK(UUU)2	AfuMttK(UUU)2	AfuMttK(UUU)2-T	protein_coding	0	0	0	15	0	0	0	0	0	2	0	0	0	0	0	0	13
AfuMttL(UAA)2	AfuMttL(UAA)2	AfuMttL(UAA)2-T	protein_coding	0	0	0	18	0	0	0	0	0	15	0	0	0	0	0	0	3
AfuMttL(UAG)1	AfuMttL(UAG)1	AfuMttL(UAG)1-T	protein_coding	1	0	0	19	0	0	0	1	0	16	0	0	0	0	1	0	3
AfuMttM(CAU)10	AfuMttM(CAU)10	AfuMttM(CAU)10-T	protein_coding	0	0	0	17	0	0	0	0	0	14	0	0	0	0	0	0	3
AfuMttM(CAU)11	AfuMttM(CAU)11	AfuMttM(CAU)11-T	protein_coding	0	0	0	20	0	0	0	0	0	16	0	0	0	0	0	0	4
AfuMttM(CAU)9	AfuMttM(CAU)9	AfuMttM(CAU)9-T	protein_coding	0	0	0	17	0	0	0	0	0	14	0	0	0	0	0	0	3
AfuMttN(GUU)8	AfuMttN(GUU)8	AfuMttN(GUU)8-T	protein_coding	0	0	0	26	0	0	0	0	0	14	0	0	0	0	0	0	12
AfuMttP(UGG)3	AfuMttP(UGG)3	AfuMttP(UGG)3-T	protein_coding	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	3
AfuMttQ(UUG)3	AfuMttQ(UUG)3	AfuMttQ(UUG)3-T	protein_coding	0	0	0	20	0	0	0	0	0	16	0	0	0	0	0	0	4
AfuMttR(ACG)10	AfuMttR(ACG)10	AfuMttR(ACG)10-T	protein_coding	0	0	0	16	0	0	0	0	0	3	0	0	0	0	0	0	13
AfuMttR(UCU)2	AfuMttR(UCU)2	AfuMttR(UCU)2-T	protein_coding	0	0	0	26	0	0	0	0	0	14	0	0	0	0	0	0	12
AfuMttS(GCU)5	AfuMttS(GCU)5	AfuMttS(GCU)5-T	protein_coding	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	3
AfuMttS(UGA)2	AfuMttS(UGA)2	AfuMttS(UGA)2-T	protein_coding	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	3
AfuMttT(UGU)4	AfuMttT(UGU)4	AfuMttT(UGU)4-T	protein_coding	0	0	0	17	0	0	0	0	0	14	0	0	0	0	0	0	3
AfuMttV(UAC)2	AfuMttV(UAC)2	AfuMttV(UAC)2-T	protein_coding	0	0	0	17	0	0	0	0	0	14	0	0	0	0	0	0	3
AfuMttW(UCA)1	AfuMttW(UCA)1	AfuMttW(UCA)1-T	protein_coding	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	3
AfuMttY(GUA)7	AfuMttY(GUA)7	AfuMttY(GUA)7-T	protein_coding	0	0	0	20	0	0	0	0	0	2	0	0	0	0	0	0	18
